,location_population,friends_number,sex,education,dob,daily_commute,In relationship,Married,Married with kids,Single,Mastercard,Revolut,Visa,Gym,Squash,Bodybuilding,Rowing,Cardio,Weightlifting,Badminton,Crossfit,Fitness,Stretching,Power bike,Kettleballs
0,20919,254,1.0,5.0,68.0,64.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,89590,341,1.0,5.0,25.0,38.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,89590,229,1.0,2.0,53.0,37.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,92090,244,0.0,5.0,27.0,21.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,168394,267,1.0,2.0,57.0,88.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,138578,175,0.0,5.0,43.566502463054185,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,9400,192,1.0,5.0,39.0,24.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,28704,330,1.0,5.0,55.0,44.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,5242,275,0.0,3.0,56.0,60.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,138578,247,1.0,4.0,46.0,31.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,40399,227,1.0,3.0,33.0,70.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,84041,317,1.0,4.0,35.0,76.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,22049,203,1.0,2.0,73.0,50.70429252782194,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,464254,223,1.0,1.0,54.0,48.4750830564784,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,202562,161,0.0,5.0,57.0,79.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,109650,275,0.0,4.0,82.0,56.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,171505,231,1.0,3.0,39.0,49.454054054054055,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,39084,294,1.0,4.0,46.0,11.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,111752,0,0.0,3.0,45.0,99.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,15877,20,1.0,1.0,63.0,73.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,204013,250,0.0,4.0,41.0,69.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,690422,375,1.0,5.0,60.0,25.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22390,155,1.0,5.0,23.0,15.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,224376,97,1.0,2.0,41.0,25.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,296262,216,1.0,4.0,45.29807692307692,19.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,767348,290,1.0,3.0,42.0,73.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,297288,202,1.0,4.0,39.0,64.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,1764615,312,0.0,1.0,62.0,50.8388625592417,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,6089,180,1.0,2.0,42.0,8.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,138578,248,1.0,4.0,24.0,72.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30,214566,178,0.0,3.0,45.0,63.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,690422,174,1.0,5.0,41.0,6.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32,638586,43,1.0,4.0,42.77777777777778,6.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,1764615,145,1.0,1.0,75.0,22.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,21370,122,0.0,4.0,47.0,26.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,224376,8,1.0,3.0,45.29807692307692,93.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
36,224376,327,0.0,4.0,36.0,17.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,5152,58,0.0,3.0,74.0,59.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,91465,169,1.0,3.0,28.0,89.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,57343,0,1.0,5.0,45.29807692307692,48.4750830564784,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,246306,141,0.0,4.0,43.69859813084112,47.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,65823,102,0.0,2.0,37.0,89.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
42,128211,257,1.0,1.0,54.0,78.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,109650,368,0.0,5.0,28.0,14.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,403883,265,0.0,5.0,45.0,15.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
45,464254,338,1.0,2.0,47.0,39.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,690422,175,1.0,1.0,46.14666666666667,39.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,538633,152,1.0,3.0,46.14666666666667,76.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
48,196804,155,1.0,2.0,47.0,13.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
49,50385,284,1.0,2.0,56.0,39.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,202562,83,0.0,4.0,43.566502463054185,46.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,246306,116,0.0,5.0,67.0,78.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,296262,68,0.0,3.0,30.0,81.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
53,464254,266,1.0,3.0,46.14666666666667,80.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,139129,221,1.0,4.0,49.0,70.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,30207,261,0.0,4.0,60.0,44.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2158,274,1.0,3.0,67.0,34.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57,17223,127,1.0,4.0,45.672,50.70429252782194,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,29480,106,0.0,3.0,43.566502463054185,55.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,33132,250,1.0,4.0,39.0,20.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,21534,220,0.0,3.0,59.0,10.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
