,location,location_population,occupation,hobbies,friends_number,sex,credit_card_type,relationship_status,education,dob,daily_commute
0,Chrzanów,37123,Numerical and material recording clerks,"Stretching,Cooking,Parkour",268,1.0,Visa,In relationship,3.0,34.0,32.0
1,Konstancin-Jeziorna,17191,Production and specialised services managers,"Squash,Cardio,Astronomy",204,0.0,Mastercard,In relationship,3.0,36.0,5.0
2,Stalowa Wola,61903,Personal care workers,"Cardio,Power bike,Wood carving,Acting,Rappelling",128,1.0,Visa,In relationship,3.0,23.0,18.0
3,Braniewo,17074,"Armed forces occupations, other ranks","Bodybuilding,Fitness,Skimboarding",156,1.0,Visa,Married with kids,5.0,56.0,76.0
4,Sieniawa,2146,General and keyboard clerks,"Cardio,Rowing,Gym,Dowsing",182,0.0,Visa,In relationship,5.0,37.0,45.0
5,Zgierz,56690,Science and engineering associate professionals,"Stretching,Power bike,role-playing games,Board sports",247,1.0,Visa,Single,4.0,43.0,22.0
6,Warszawa,1764615,Customer services clerks,"Gardening,Sand art",165,0.0,Mastercard,Single,3.0,58.0,50.0
7,Wieliczka,22946,Non-commissioned armed forces officers,"Stretching,Do it yourself",166,0.0,Revolut,Single,5.0,44.0,49.32786885245902
8,Wałcz,25533,Food preparation assistants,"Fitness,Candle making,Lego building",145,1.0,Mastercard,Married,4.0,55.0,14.0
9,Gdańsk,464254,Personal service workers,"Badminton,Roller skating,Bird watching,tabletop games",390,0.0,Visa,In relationship,4.0,56.0,28.0
10,Hajnówka,20919,"Armed forces occupations, other ranks",,254,1.0,American Express,Married with kids,5.0,68.0,64.0
11,Jastrzębie-Zdrój,89590,"Legal, social and cultural professionals",,341,1.0,Visa,Single,5.0,25.0,38.0
12,Jastrzębie-Zdrój,89590,"Agricultural, forestry and fishery labourers",,229,1.0,Mastercard,Married,2.0,53.0,37.0
13,Jaworzno,92090,Commissioned armed forces officers,,244,0.0,Visa,In relationship,5.0,27.0,21.0
14,Rumia,48632,Cleaners and helpers,Squash,65,1.0,Mastercard,Single,3.0,63.0,37.0
15,Głogów,68179,Business and administration professionals,"Scouting,Gambling",64,1.0,Visa,In relationship,5.0,45.672,12.0
16,Gogolin,6640,"Market-oriented skilled forestry, fishery and hunting workers","Foreign language learning,Letterboxing,Creative writing",383,0.0,Mastercard,In relationship,1.0,49.0,43.0
17,Tarnobrzeg,47387,Information and communications technicians,"Badminton,Amateur radio",405,1.0,Mastercard,Married,3.0,62.0,12.0
18,Dobra,2353,Administrative and commercial managers,"Crossfit,3D printing,Coloring,Hooping",224,0.0,Visa,In relationship,4.0,45.0,74.0
19,Kościan,23907,Personal service workers,"Inline skating,Gambling",62,0.0,Mastercard,In relationship,4.0,47.0,66.0
20,Brzeziny,12534,Health professionals,"Fitness,Rock climbing",119,1.0,Mastercard,In relationship,3.0,56.0,20.0
21,Nowy Sącz,84041,Street and related sales and service workers,Cardio,246,0.0,Revolut,Divorced,4.0,23.0,43.859375
22,Wrocław,638586,General and keyboard clerks,"Origami,Skimboarding,Nordic skating",0,1.0,Mastercard,In relationship,2.0,47.0,85.0
23,Olkusz,35921,Business and administration professionals,"Rowing,Weightlifting,Netball",240,1.0,Mastercard,Married,2.0,50.0,77.0
24,Gdańsk,464254,Health associate professionals,"Squash,Stretching,Video gaming,Flower arranging",175,1.0,Visa,Married with kids,5.0,30.0,9.0
25,Piastów,22732,"Market-oriented skilled forestry, fishery and hunting workers","Squash,Puzzles,Singing,Cryptography",230,1.0,Visa,In relationship,2.0,54.0,5.0
26,Radom,214566,Electrical and electronic trades workers,Power bike,244,1.0,Mastercard,Married,4.0,45.29807692307692,48.475083056478404
27,Sosnowiec,204013,Electrical and electronic trades workers,"Cardio,Kettleballs,Sculpting,Lacemaking",89,0.0,Visa,Married,5.0,44.0,46.0
28,Tychy,128211,"Market-oriented skilled forestry, fishery and hunting workers","Soapmaking,Kayaking,Lapidary",104,0.0,Mastercard,In relationship,4.0,69.0,93.0
29,Andrychów,20567,Food preparation assistants,"Squash,Jogging",105,0.0,Mastercard,In relationship,4.0,43.69859813084112,90.0
30,Trzebinia,19954,Science and engineering associate professionals,Kettleballs,237,1.0,Mastercard,In relationship,2.0,49.0,11.0
31,Płock,120787,Customer services clerks,"Crossfit,Yo-yoing,Bodybuilding",249,0.0,Visa,Single,3.0,34.0,21.0
32,Przemyśl,61808,Protective services workers,"Sudoku,Table tennis",326,1.0,Mastercard,Married,5.0,37.0,52.0
33,Gdynia,246306,"Agricultural, forestry and fishery labourers","Fitness,Knitting",340,1.0,Visa,In relationship,3.0,36.0,64.0
34,Bytom,168394,Other clerical support workers,,267,1.0,Visa,Married,2.0,57.0,88.0
35,Poznań,538633,"Building and related trades workers, excluding electricians","Fitness,Writing",376,1.0,Mastercard,In relationship,4.0,57.0,32.0
36,Kamień Pomorski,8868,Information and communications technicians,"Shooting,Poi,Sailing",79,1.0,Mastercard,In relationship,6.0,42.0,74.0
37,Ruda Śląska,138578,Assemblers,,175,0.0,Visa,Married,5.0,43.566502463054185,5.0
38,Dębica,46063,Food preparation assistants,"Sudoku,Flying disc",0,1.0,Visa,Married with kids,4.0,40.0,49.55
39,Poznań,538633,Science and engineering associate professionals,Bodybuilding,162,1.0,Mastercard,Single,3.0,84.0,62.0
40,Pleszew,17437,Non-commissioned armed forces officers,"Kettleballs,Rowing,Writing,Juggling",169,0.0,Visa,Single,4.0,61.0,99.0
41,Olesno,9400,Personal service workers,,192,1.0,Visa,Married,5.0,39.0,24.0
42,Łowicz,28704,Refuse workers and other elementary workers,,330,1.0,Visa,Married with kids,5.0,55.0,44.0
43,Ostrów Mazowiecka,22656,Health associate professionals,"Rowing,Jigsaw puzzles,LARPing,Calligraphy",95,1.0,Mastercard,Married with kids,5.0,32.0,81.0
44,Szczytna,5242,General and keyboard clerks,,275,0.0,Mastercard,In relationship,3.0,56.0,60.0
