,target
2478,0
3531,1
2561,1
1321,0
2405,1
71,1
144,0
567,1
276,0
1056,0
2221,0
2757,0
1218,0
3634,1
1278,0
338,0
669,0
3835,0
7,0
1058,0
2560,0
1779,1
2040,0
874,0
2217,0
1205,0
3491,0
2666,0
1800,0
110,0
2035,0
3834,0
935,0
2410,0
437,0
1019,0
694,0
1879,0
2323,0
2043,0
2161,1
88,0
3672,0
554,0
1837,0
2138,0
2423,0
2873,1
3,0
824,0
630,0
1903,0
1854,0
3935,0
1827,1
2499,0
501,0
3956,0
403,0
486,0
849,0
406,0
2529,0
2286,0
2902,0
1460,0
1898,0
423,0
965,1
620,1
1705,0
838,0
3483,0
1113,0
1859,1
880,0
2318,0
2141,0
1222,0
231,0
2241,0
664,0
2844,1
459,0
454,0
2730,0
698,0
3658,1
1410,0
79,0
3745,0
391,1
3646,0
3275,0
1100,0
3292,0
1643,0
2860,0
3074,0
3140,0
2898,1
2632,0
3175,0
1669,0
3347,0
3862,0
1325,1
3088,0
840,0
807,1
3735,0
3462,0
2250,0
316,0
641,0
3766,0
989,1
3299,0
2402,0
1451,0
3534,0
3747,0
3793,0
1012,0
661,1
1229,0
1250,0
3345,1
1638,0
33,1
2751,1
1498,0
2526,0
245,1
2966,0
3721,0
1202,0
654,0
1964,0
3287,1
683,0
3028,0
3560,0
1211,1
3085,0
1791,0
161,0
2876,0
3666,0
347,0
3346,0
3895,0
1120,0
1625,1
3165,0
597,0
1109,0
1820,0
662,0
666,0
3849,0
401,0
452,0
2077,0
1497,1
828,0
999,0
3936,1
737,0
3955,0
1858,0
3392,0
2602,0
3411,1
2750,0
2171,0
1190,0
1493,0
1923,1
433,0
83,0
2021,0
3675,0
2236,0
532,0
1117,0
722,0
1043,1
3045,1
632,0
3899,0
1359,0
3744,0
890,0
1057,0
3282,0
3274,0
1023,0
1193,0
1560,0
136,0
467,0
1706,1
3991,0
2279,0
576,0
2597,1
602,0
2244,0
3245,0
1672,0
1249,0
3651,0
2235,0
2704,0
2570,0
731,0
2789,0
3472,0
1604,1
857,0
405,0
1910,0
2846,0
3386,0
659,0
3251,1
2849,0
866,0
258,1
2543,0
1675,1
2712,0
3645,0
2135,0
1619,0
3160,0
3083,0
2882,0
2509,0
2137,0
2467,0
1659,0
762,0
3068,0
3033,0
1707,0
1152,0
2738,0
1838,0
819,0
962,0
2903,0
691,0
